rank,file_name,series_name,total_length,train_length,test_length,kl_train_to_test,kl_test_to_train,symmetric_kl
139,228_UCR_Anomaly_mit14134longtermecg_11361_47830_47850.txt,mit14134longtermecg,59000,47830,11150,0.050448588607,0.021257023510,0.035852806059
140,152_UCR_Anomaly_PowerDemand1_9000_18485_18821.txt,PowerDemand1,29931,18485,11110,0.048294194983,0.028413337487,0.038353766235
141,028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309.txt,DISTORTEDInternalBleeding17,7500,3198,4191,0.045760723396,0.115207781654,0.080484252525
142,210_UCR_Anomaly_Italianpowerdemand_36123_74900_74996.txt,Italianpowerdemand,119819,74900,44823,0.044942014826,0.027858061588,0.036400038207
143,021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,DISTORTEDGP711MarkerLFM5z3,12000,5948,6007,0.044855378166,0.016691311002,0.030773344584
144,067_UCR_Anomaly_DISTORTEDinsectEPG3_5200_7000_7050.txt,DISTORTEDinsectEPG3,9998,7000,2948,0.042614731578,0.029480675647,0.036047703612
145,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,DISTORTEDresperation1,200000,110260,89588,0.041951356512,0.019853607280,0.030902481896
146,171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,gaitHunt2,64000,31200,32150,0.041853680081,0.041187115238,0.041520397659
147,087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.txt,DISTORTEDsel840mECG1,60000,51370,8260,0.041817406052,0.041089129561,0.041453267807
148,165_UCR_Anomaly_apneaecg4_6000_16000_16100.txt,apneaecg4,38269,16000,22169,0.041694293671,0.083412797389,0.062553545530
149,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt,DISTORTEDinsectEPG2,9998,8000,1973,0.041615738836,0.030161861494,0.035888800165
150,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.txt,DISTORTEDInternalBleeding19,7500,4187,3303,0.041605114706,0.037012618073,0.039308866389
151,209_UCR_Anomaly_Fantasia_19000_26970_27270.txt,Fantasia,92000,26970,64730,0.041118264186,0.018940308962,0.030029286574
152,027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199.txt,DISTORTEDInternalBleeding16,7501,4187,3302,0.039758280563,0.036911846966,0.038335063765
153,025_UCR_Anomaly_DISTORTEDInternalBleeding14_2800_5607_5634.txt,DISTORTEDInternalBleeding14,7501,5607,1867,0.039297952931,0.052932279572,0.046115116251
154,163_UCR_Anomaly_apneaecg2_10000_20950_21100.txt,apneaecg2,38501,20950,17401,0.039241186677,0.049289781866,0.044265484272
155,044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.txt,DISTORTEDPowerDemand1,29931,18485,11110,0.038728175296,0.020494850748,0.029611513022
156,170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,gaitHunt1,64000,33070,30820,0.038559167762,0.038536559852,0.038547863807
157,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,DISTORTEDpark3m,90000,72150,17505,0.038223765565,0.025911753564,0.032067759564
158,218_UCR_Anomaly_STAFFIIIDatabase_41117_210720_211370.txt,STAFFIIIDatabase,299940,210720,88570,0.037081143801,0.016177129298,0.026629136550
159,059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,DISTORTEDgait1,65000,38500,26200,0.036990783851,0.056397204888,0.046693994370
160,211_UCR_Anomaly_Italianpowerdemand_38113_39240_39336.txt,Italianpowerdemand,119580,39240,80244,0.036788771964,0.024051557881,0.030420164923
161,164_UCR_Anomaly_apneaecg3_5000_11111_11211.txt,apneaecg3,38379,11111,27168,0.036664282243,0.076047476149,0.056355879196
162,107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,NOISEinsectEPG3,9998,7000,2948,0.036584416898,0.068658831075,0.052621623986
163,221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,STAFFIIIDatabase,298340,163632,133488,0.036060436492,0.030860707888,0.033460572190
164,172_UCR_Anomaly_gaitHunt3_23400_38400_39200.txt,gaitHunt3,64000,38400,24800,0.035701163134,0.036640350570,0.036170756852
165,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,DISTORTEDInternalBleeding8,7501,5865,1527,0.035284607765,0.036063727348,0.035674167556
166,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.txt,DISTORTEDinsectEPG1,10001,7000,2971,0.034713737360,0.131713339439,0.083213538399
167,062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,DISTORTEDgaitHunt1,64000,33070,30820,0.033847505316,0.022100512568,0.027974008942
168,166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,apneaecg,38501,12240,26193,0.033057730852,0.067403752990,0.050230741921
169,147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.txt,Lab2Cmac011215EPG3,29950,16390,13530,0.032103034872,0.024230199107,0.028166616990
170,037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.txt,DISTORTEDLab2Cmac011215EPG1,30001,17210,12741,0.031929256398,0.017527982953,0.024728619675
171,024_UCR_Anomaly_DISTORTEDInternalBleeding10_3200_4526_4556.txt,DISTORTEDInternalBleeding10,7501,4526,2945,0.030963215320,0.106558399386,0.068760807353
172,132_UCR_Anomaly_InternalBleeding10_3200_4526_4556.txt,InternalBleeding10,7501,4526,2945,0.030757188279,0.032794938320,0.031776063299
173,133_UCR_Anomaly_InternalBleeding14_2800_5607_5634.txt,InternalBleeding14,7501,5607,1867,0.030394610171,0.032410090267,0.031402350219
174,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919.txt,InternalBleeding20,7500,5759,1581,0.030363944030,0.252390631660,0.141377287845
175,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700.txt,mit14046longtermecg,199753,191200,8053,0.030086498591,0.036438616960,0.033262557776
176,233_UCR_Anomaly_mit14157longtermecg_18913_24500_24501.txt,mit14157longtermecg,92710,24500,68209,0.029686598794,0.056537631075,0.043112114934
177,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100.txt,NOISEapneaecg4,38269,16000,22169,0.029671211329,0.049925912658,0.039798561994
